time,open,high,low,close,Volume
1682917860,94.95,94.95,94.95,94.95,13
1682918640,94.945,94.945,94.945,94.945,5
1682918820,94.945,94.945,94.945,94.945,5
1682918880,94.945,94.945,94.945,94.945,7
1682919240,94.945,94.945,94.945,94.945,6
1682920740,94.95,94.95,94.95,94.95,3
1682920800,94.95,94.95,94.95,94.95,10
1682924940,94.945,94.945,94.945,94.945,7
1682926020,94.94,94.94,94.94,94.94,66
1682926080,94.94,94.945,94.94,94.945,22
1682926200,94.94,94.94,94.94,94.94,30
1682926320,94.94,94.94,94.94,94.94,4
1682926380,94.94,94.94,94.94,94.94,9
1682926440,94.94,94.94,94.94,94.94,15
1682926620,94.935,94.935,94.935,94.935,37
1682926680,94.93,94.93,94.93,94.93,33
1682926860,94.93,94.93,94.93,94.93,8
1682926920,94.935,94.935,94.935,94.935,6
1682927400,94.93,94.93,94.93,94.93,12
1682928300,94.93,94.93,94.93,94.93,2
1682930580,94.925,94.925,94.925,94.925,45
1682930640,94.925,94.925,94.925,94.925,10
1682930700,94.925,94.925,94.925,94.925,65
1682933520,94.93,94.93,94.93,94.93,600
1682936100,94.925,94.925,94.925,94.925,3
1682936280,94.93,94.93,94.93,94.93,1
1682936460,94.925,94.925,94.925,94.925,28
1682936880,94.925,94.925,94.925,94.925,33
1682937600,94.925,94.925,94.925,94.925,6
1682939700,94.925,94.925,94.925,94.925,2
1682940540,94.93,94.93,94.93,94.93,643
1682940660,94.93,94.93,94.93,94.93,12
1682940720,94.935,94.935,94.935,94.935,2
1682941560,94.93,94.93,94.93,94.93,14
1682941620,94.93,94.93,94.93,94.93,32
1682941680,94.93,94.93,94.93,94.93,6
1682942400,94.925,94.925,94.925,94.925,200
1682942460,94.925,94.925,94.925,94.925,131
1682942520,94.925,94.925,94.925,94.925,30
1682942580,94.925,94.925,94.925,94.925,1
1682942640,94.925,94.925,94.925,94.925,11
1682942700,94.925,94.925,94.925,94.925,297
1682942760,94.925,94.925,94.925,94.925,125
1682942940,94.92,94.92,94.92,94.92,8
1682943000,94.92,94.92,94.92,94.92,326
1682943060,94.92,94.92,94.92,94.92,34
1682943180,94.92,94.92,94.92,94.92,4
1682943480,94.915,94.915,94.915,94.915,211
1682943540,94.915,94.915,94.915,94.915,78
1682943600,94.915,94.915,94.915,94.915,13
1682943660,94.915,94.915,94.915,94.915,1
1682943720,94.915,94.915,94.915,94.915,3
1682943900,94.92,94.92,94.92,94.92,2
1682944080,94.915,94.915,94.915,94.915,46
