time,open,high,low,close,Volume
1740956400,96.025,96.025,96.015,96.015,100
1740956520,96.01,96.01,96.01,96.01,32
1740956640,96.01,96.01,96.01,96.01,3
1740959340,96.005,96.005,96.005,96.005,281
1740959400,96.005,96.005,96.005,96.005,17
1740959580,96.005,96.005,96.005,96.005,48
1740961560,96.005,96.005,96.005,96.005,6
1740961740,96.005,96.005,96.005,96.005,41
1740962400,96.005,96.005,96.005,96.005,156
1740962580,96.005,96.005,96.005,96.005,102
1740963840,96.005,96.005,96.005,96.005,12
1740965880,96.005,96.005,96.005,96.005,12
1740966240,96.005,96.005,96.005,96.005,24
1740966300,96.005,96.005,96.005,96.005,1
1740968700,96.005,96.005,96.005,96.005,1
1740969000,96.005,96.005,96.005,96.005,12
1740969180,96.005,96.005,96.005,96.005,1
1740969300,96.005,96.005,96.005,96.005,12
1740969660,96.01,96.01,96.01,96.01,1
1740970980,96.01,96.01,96.01,96.01,79
1740971040,96.01,96.01,96.01,96.01,227
1740971340,96.01,96.01,96.01,96.01,9
1740982800,96.015,96.015,96.015,96.015,1
1740983040,96.015,96.015,96.015,96.015,277
1740983100,96.015,96.015,96.015,96.015,32
1740983400,96.015,96.015,96.015,96.015,34
1740983460,96.015,96.015,96.015,96.015,60
1740983520,96.015,96.015,96.015,96.015,13
1740983880,96.015,96.015,96.015,96.015,118
1740984960,96.01,96.01,96.01,96.01,80
1740987360,96.005,96.005,96.005,96.005,200
1740987420,96.005,96.005,96.005,96.005,11
1740987660,96.005,96.005,96.005,96.005,1
1740988740,96.005,96.005,96.005,96.005,35
1740988800,96.005,96.005,96.005,96.005,11
1740989220,96.005,96.005,96.005,96.005,27
1740989280,96.005,96.005,96.005,96.005,10
1740989580,96.005,96.005,96.005,96.005,10
1740989700,96.005,96.005,96.005,96.005,7
1740994260,96.005,96.005,96.005,96.005,44
1740994500,96.005,96.005,96.005,96.005,10
1740995520,96,96,96,96,26
1740995580,96,96,96,96,11
1740995700,96,96,96,96,14
1740995820,96,96,96,96,34
1740995940,96,96,96,96,24
1740996060,96,96,96,96,4
1740996240,96,96,96,96,50
1740996300,96,96,96,96,50
1740996360,96,96,96,96,150
1740996480,96,96,96,96,46
1740998100,95.995,95.995,95.995,95.995,25
1740998280,95.995,95.995,95.995,95.995,341
1741000260,95.99,95.99,95.99,95.99,15
1741001940,95.995,95.995,95.995,95.995,87
1741003260,95.995,95.995,95.995,95.995,47
1741003320,95.995,95.995,95.995,95.995,48
1741004640,95.995,95.995,95.995,95.995,1
1741004760,95.995,95.995,95.995,95.995,141
1741004880,95.995,95.995,95.995,95.995,8
1741004940,95.995,95.995,95.995,95.995,24
1741006380,95.995,95.995,95.995,95.995,135
1741006680,95.995,95.995,95.995,95.995,107
1741006800,95.995,95.995,95.995,95.995,14
1741006920,95.995,95.995,95.995,95.995,37
1741007520,95.99,95.99,95.99,95.99,3
1741007580,95.99,95.99,95.99,95.99,2
1741007640,95.99,95.99,95.99,95.99,544
1741008000,95.99,95.99,95.99,95.99,97
1741008060,95.99,95.99,95.99,95.99,2
1741008120,95.99,95.99,95.99,95.99,17
1741008600,95.99,95.995,95.99,95.995,188
1741009500,95.99,95.99,95.99,95.99,2
1741009740,95.99,95.99,95.99,95.99,16
1741010040,95.995,95.995,95.995,95.995,10
1741010460,95.995,95.995,95.995,95.995,84
1741010520,95.995,95.995,95.995,95.995,19
1741010580,95.995,95.995,95.995,95.995,31
1741010640,95.995,95.995,95.995,95.995,7
1741011000,95.99,95.99,95.99,95.99,95
1741011060,95.99,95.99,95.99,95.99,7
1741011240,95.99,95.99,95.99,95.99,190
1741011300,95.99,95.99,95.99,95.99,122
1741011780,95.99,95.99,95.99,95.99,129
1741012020,95.99,95.99,95.99,95.99,85
1741012140,95.99,95.99,95.99,95.99,120
1741012500,95.99,95.99,95.99,95.99,3
1741012560,95.99,95.99,95.99,95.99,131
1741012740,95.995,95.995,95.995,95.995,10
1741012800,95.995,95.995,95.995,95.995,10
1741012860,95.995,95.995,95.995,95.995,15
1741012920,95.995,95.995,95.995,95.995,39
1741013100,95.995,95.995,95.995,95.995,10
1741013160,95.995,95.995,95.995,95.995,5
1741013220,95.995,95.995,95.995,95.995,15
1741013400,95.995,95.995,95.995,95.995,48
1741013700,95.995,95.995,95.995,95.995,22
1741013760,95.995,95.995,95.995,95.995,8
1741013940,95.995,95.995,95.99,95.995,32
1741014000,95.99,96.005,95.985,96.005,153
1741014060,96.005,96.005,96.005,96.005,105
1741014180,96.005,96.005,96.005,96.005,197
1741014240,96.005,96.005,96.005,96.005,18
1741014420,96,96,96,96,40
1741014480,96,96,96,96,37
1741014600,96,96,96,96,15
1741014720,96.005,96.01,96.005,96.01,1080
1741014780,96.015,96.015,96.015,96.015,111
1741014840,96.015,96.015,96.015,96.015,168
1741014960,96.02,96.02,96.02,96.02,1
1741015080,96.015,96.015,96.015,96.015,73
1741015140,96.015,96.015,96.015,96.015,24
1741015200,96.015,96.015,96.015,96.015,27
1741015260,96.015,96.015,96.015,96.015,18
1741015320,96.015,96.015,96.015,96.015,21
1741015440,96.015,96.015,96.015,96.015,100
1741015620,96.015,96.015,96.015,96.015,23
1741015680,96.015,96.015,96.015,96.015,27
1741016280,96.015,96.015,96.015,96.015,29
1741016340,96.015,96.015,96.015,96.015,10
1741017180,96.01,96.01,96.01,96.01,104
1741017240,96.01,96.01,96.01,96.01,50
1741017420,96.01,96.01,96.01,96.01,123
1741017660,96.005,96.005,96.005,96.005,50
1741017840,96.005,96.005,96.005,96.005,187
1741017960,96.005,96.005,96.005,96.005,11
1741018080,96.005,96.005,96.005,96.005,10
1741018260,96.005,96.005,96.005,96.005,10
1741018320,96.005,96.005,96.005,96.005,10
1741018500,96.005,96.005,96.005,96.005,10
1741018680,96.01,96.015,96.01,96.015,620
1741019100,96.015,96.015,96.015,96.015,68
1741019160,96.015,96.015,96.015,96.015,10
1741019220,96.015,96.015,96.015,96.015,5
1741019460,96.02,96.02,96.02,96.02,150
1741019580,96.02,96.02,96.02,96.02,15
1741019760,96.02,96.02,96.02,96.02,6
1741019820,96.02,96.02,96.02,96.02,25
1741019880,96.02,96.02,96.02,96.02,47
1741019940,96.02,96.02,96.02,96.02,16
1741020060,96.025,96.025,96.025,96.025,4
1741020240,96.02,96.02,96.02,96.02,44
1741020300,96.02,96.02,96.02,96.02,101
1741020660,96.015,96.015,96.015,96.015,6
1741021080,96.015,96.015,96.015,96.015,130
1741022100,96.015,96.015,96.015,96.015,266
1741022160,96.015,96.015,96.015,96.015,124
1741023060,96.01,96.01,96.01,96.01,1
1741023240,96.015,96.015,96.015,96.015,161
1741023300,96.015,96.015,96.015,96.015,20
1741023720,96.015,96.015,96.015,96.015,19
1741024020,96.02,96.025,96.02,96.025,2141
1741024320,96.025,96.025,96.025,96.025,1
1741025040,96.02,96.02,96.02,96.02,64
1741025280,96.025,96.025,96.025,96.025,409
1741025520,96.03,96.03,96.03,96.03,59
1741025580,96.03,96.03,96.03,96.03,2
1741025640,96.03,96.03,96.03,96.03,17
1741025700,96.03,96.03,96.03,96.03,20
1741025760,96.03,96.03,96.03,96.03,10
1741025820,96.03,96.03,96.03,96.03,4
1741026060,96.03,96.03,96.03,96.03,49
1741026120,96.03,96.03,96.03,96.03,2
1741026480,96.03,96.03,96.03,96.03,18
1741027140,96.03,96.03,96.03,96.03,1
1741027200,96.035,96.035,96.035,96.035,164
1741027320,96.035,96.035,96.035,96.035,64
1741027440,96.035,96.035,96.035,96.035,1
1741027680,96.03,96.03,96.03,96.03,16
1741027740,96.03,96.03,96.03,96.03,17
1741027800,96.03,96.03,96.03,96.03,20
1741027860,96.03,96.03,96.03,96.03,11
1741028040,96.03,96.03,96.03,96.03,2
1741028100,96.03,96.03,96.03,96.03,12
1741028160,96.03,96.03,96.03,96.03,7
1741028340,96.03,96.03,96.03,96.03,56
1741028820,96.03,96.03,96.03,96.03,7
1741029000,96.03,96.03,96.03,96.03,5
1741029060,96.03,96.03,96.03,96.03,42
1741029240,96.03,96.03,96.03,96.03,20
1741029480,96.03,96.03,96.03,96.03,1
1741029660,96.03,96.03,96.03,96.03,3
1741030800,96.025,96.025,96.025,96.025,217
1741031460,96.025,96.025,96.025,96.025,56
1741031700,96.03,96.03,96.03,96.03,73
1741031940,96.035,96.035,96.035,96.035,21
1741032000,96.035,96.035,96.035,96.035,21
1741032120,96.04,96.04,96.04,96.04,1
1741032180,96.04,96.04,96.04,96.04,5
1741032240,96.04,96.04,96.04,96.04,2
1741032300,96.04,96.04,96.04,96.04,17
1741032360,96.04,96.04,96.04,96.04,12
1741032600,96.04,96.04,96.04,96.04,58
1741032660,96.04,96.04,96.04,96.04,7
1741032720,96.04,96.04,96.04,96.04,25
1741032900,96.045,96.045,96.045,96.045,3
1741032960,96.045,96.045,96.045,96.045,15
1741033080,96.045,96.045,96.045,96.045,12
1741033320,96.05,96.05,96.05,96.05,1
1741033500,96.05,96.05,96.05,96.05,9
1741033560,96.05,96.055,96.05,96.055,24
1741033740,96.055,96.055,96.055,96.055,1
1741033800,96.055,96.055,96.055,96.055,1
1741033920,96.055,96.055,96.055,96.055,1
1741033980,96.05,96.05,96.05,96.05,113
1741034100,96.055,96.055,96.055,96.055,71
1741034280,96.06,96.06,96.06,96.06,91
1741034340,96.06,96.06,96.06,96.06,13
